WARNING 2026-05-15 12:11:25,577 log Forbidden: /api/auth/login/
WARNING 2026-05-15 12:53:28,753 log Unauthorized: /api/auth/me/
WARNING 2026-05-15 12:53:28,765 log Unauthorized: /api/auth/me/
WARNING 2026-05-15 12:53:28,773 log Unauthorized: /api/auth/me/
WARNING 2026-05-15 12:53:28,784 log Unauthorized: /api/auth/me/
WARNING 2026-05-15 12:53:28,815 log Unauthorized: /api/auth/me/
WARNING 2026-05-15 12:53:28,828 log Unauthorized: /api/auth/me/
WARNING 2026-05-15 12:53:29,403 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 12:53:29,488 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 12:53:29,506 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 12:53:29,554 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 12:53:29,597 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 12:53:29,609 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 12:55:54,819 log Forbidden: /api/auth/login/
WARNING 2026-05-15 12:56:51,154 log Unauthorized: /api/auth/login/
WARNING 2026-05-15 12:56:51,175 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 13:04:40,028 log Unauthorized: /api/auth/login/
WARNING 2026-05-15 13:04:40,057 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 13:06:48,086 log Forbidden: /api/auth/login/
WARNING 2026-05-15 13:58:01,868 log Not Found: /api/users/
WARNING 2026-05-15 13:58:01,955 log Not Found: /api/users/
WARNING 2026-05-15 13:58:03,301 log Not Found: /api/users/
WARNING 2026-05-15 13:58:03,334 log Not Found: /api/users/
WARNING 2026-05-15 13:58:24,699 log Forbidden: /api/auth/login/
WARNING 2026-05-15 15:33:48,247 log Forbidden: /api/auth/login/
WARNING 2026-05-15 15:34:08,895 log Unauthorized: /api/auth/login/
WARNING 2026-05-15 15:34:09,105 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 15:34:50,933 log Forbidden: /api/auth/login/
WARNING 2026-05-15 15:37:25,369 log Bad Request: /api/auth/register/
WARNING 2026-05-15 15:37:50,017 log Forbidden: /api/auth/login/
WARNING 2026-05-15 17:10:08,225 log Unauthorized: /api/auth/login/
WARNING 2026-05-15 17:10:08,492 log Not Found: /api//auth/token/refresh/
WARNING 2026-05-15 17:11:55,271 log Not Found: /api/users/
WARNING 2026-05-15 17:11:55,304 log Not Found: /api/users/
WARNING 2026-05-15 17:11:58,172 log Not Found: /api/users/
WARNING 2026-05-15 17:11:58,202 log Not Found: /api/users/
WARNING 2026-05-15 17:30:24,196 log Not Found: /api/users/
WARNING 2026-05-15 17:30:24,257 log Not Found: /api/users/
ERROR 2026-05-15 17:31:39,295 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:31:48,009 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:31:48,032 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:31:56,540 log Forbidden: /api/auth/approvals/
WARNING 2026-05-15 17:31:56,564 log Forbidden: /api/auth/approvals/
WARNING 2026-05-15 17:31:58,028 log Not Found: /api/users/
ERROR 2026-05-15 17:31:58,032 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:31:58,055 log Not Found: /api/users/
ERROR 2026-05-15 17:31:58,064 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:31:58,080 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:31:58,098 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:32:21,717 log Not Found: /api/users/
ERROR 2026-05-15 17:32:21,721 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:32:21,768 log Not Found: /api/users/
ERROR 2026-05-15 17:32:21,776 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:32:21,805 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:32:21,827 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:32:30,716 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:32:30,752 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:32:33,811 log Not Found: /api/users/
ERROR 2026-05-15 17:32:33,827 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:32:33,876 log Not Found: /api/users/
ERROR 2026-05-15 17:32:33,892 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:32:33,919 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:32:33,941 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:48:37,052 log Bad Request: /api/auth/register/
WARNING 2026-05-15 17:49:39,037 log Not Found: /api/users/
WARNING 2026-05-15 17:49:39,106 log Not Found: /api/users/
WARNING 2026-05-15 17:49:41,585 log Not Found: /api/users/
WARNING 2026-05-15 17:49:41,658 log Not Found: /api/users/
ERROR 2026-05-15 17:50:30,319 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:30,279 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:30,314 log Not Found: /api/users/
ERROR 2026-05-15 17:51:30,349 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:30,428 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:30,456 log Not Found: /api/users/
ERROR 2026-05-15 17:51:30,495 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:37,634 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:37,671 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:41,148 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:41,177 log Not Found: /api/users/
ERROR 2026-05-15 17:51:41,215 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:41,242 log Not Found: /api/users/
ERROR 2026-05-15 17:51:41,262 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:41,290 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:51,143 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:51,185 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:53,645 log Not Found: /api/users/
WARNING 2026-05-15 17:51:53,717 log Not Found: /api/users/
ERROR 2026-05-15 17:51:54,668 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:54,681 log Not Found: /api/users/
ERROR 2026-05-15 17:51:54,730 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:51:54,747 log Not Found: /api/users/
ERROR 2026-05-15 17:51:54,769 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:51:54,792 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:52:14,293 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:52:14,308 log Not Found: /api/users/
ERROR 2026-05-15 17:52:14,365 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:52:14,387 log Not Found: /api/users/
ERROR 2026-05-15 17:52:14,415 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:52:14,465 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:52:16,274 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:52:16,309 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:52:48,870 log Not Found: /api/users/
ERROR 2026-05-15 17:52:48,904 log Internal Server Error: /api/leads/
WARNING 2026-05-15 17:52:48,926 log Not Found: /api/users/
ERROR 2026-05-15 17:52:48,945 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:52:49,024 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:52:49,057 log Internal Server Error: /api/leads/
ERROR 2026-05-15 17:53:51,272 log Internal Server Error: /api/leads/
